timestamp,value,created_at
1665097626000,76,1665097636267
1665097506000,61,1665097523215
1665097386000,67,1665097404599
1665097266000,63,1665097280240
1665097146000,69,1665097155329
1665097026000,64,1665097035870
1665096906000,63,1665096924776
1665096786000,66,1665096886702
1665096666000,51,1665096697288
1665096546000,72,1665096555330
1665096426000,65,1665096438338
1665096306000,65,1665096435621
1665096186000,60,1665096195502
1665096066000,66,1665096085129
1665095946000,66,1665095966800
1665095826000,78,1665095835557
1665095706000,79,1665095715148
1665095586000,61,1665095595175
1665095466000,61,1665095479895
1665095346000,67,1665095355442
1665095226000,88,1665095251580
1665095106000,58,1665095128287
1663020771000,132,1663020831208
1663013930000,132,1663013939152
1663013810000,148,1663013819318
1663013690000,177,1663013702582
1662997730000,170,1662997738785
1662997610000,159,1662997618623
1662997490000,200,1662997499372
1662997370000,157,1662997378658
1662997250000,257,1662997269159
1662761254000,249,1662761262650
1662761134000,268,1662761142507
1662761014000,260,1662761022972
1662760894000,267,1662760902424
1662760774000,253,1662760782439
1662760654000,246,1662760662368
1662760534000,264,1662760542521
1662760414000,261,1662760422668
1662760294000,288,1662760302422
1662760174000,257,1662760182392
1662760054000,242,1662760063454
1662759934000,243,1662759942387
1662759814000,247,1662759822684
1662759694000,217,1662759702518
1662759574000,212,1662759582288
1662759454000,234,1662759462363
1662759334000,253,1662759342407
1662759214000,230,1662759222688
1662759094000,240,1662759102349
1662758974000,276,1662758982253
1662758854000,261,1662758862472
1662758734000,259,1662758742348
1662758614000,252,1662758622978
1662758494000,248,1662758502497
1662758374000,240,1662758390229
1662758254000,244,1662758270221
1662758134000,233,1662758142162
1662758014000,275,1662758022914
1662757894000,245,1662757902443
1662757774000,242,1662757782487
1662757654000,261,1662757662437
1662757534000,208,1662757542385
1662757414000,248,1662757422739
1662757294000,231,1662757302191
1662757174000,240,1662757182197
1662757054000,238,1662757062233
1662756934000,231,1662756942355
1662756814000,233,1662756823188
1662756694000,254,1662756702224
1662756574000,245,1662756582136
1662756454000,248,1662756462250
1662756334000,279,1662756342305
1662756214000,251,1662756223965
1662756094000,253,1662756102169
1662755974000,236,1662755982379
1662755854000,250,1662755862602
1662755734000,231,1662755742175
1662755614000,239,1662755622565
1662755494000,276,1662755502182
1662755374000,275,1662755382215
1662755254000,253,1662755262034
1662755134000,238,1662755142051
1662755014000,277,1662755022479
1662754894000,247,1662754902266
1662754774000,271,1662754782483
1662754654000,254,1662754662130
1662754534000,260,1662754542284
1662754414000,257,1662754422063
1662754294000,291,1662754302140
1662754174000,253,1662754182231
1662754054000,274,1662754062225
1662753934000,243,1662753941998
1662753814000,280,1662753822374
1662753694000,272,1662753701906
1662753574000,279,1662753582173
1662753454000,259,1662753462107
1662753334000,264,1662753341957
1662753214000,240,1662753222385
1662753094000,277,1662753102442
1662752974000,238,1662752982201
1662752854000,270,1662752862014
1662752733000,251,1662752741925
1662752613000,261,1662752622713
1662752493000,279,1662752501948
1662752373000,264,1662752381996
1662752253000,262,1662752262268
1662752133000,240,1662752142076
1662752013000,264,1662752022669
1662751893000,259,1662751902156
1662751773000,251,1662751782008
1662751653000,226,1662751662145
1662751533000,238,1662751542312
1662751413000,281,1662751422402
1662751293000,249,1662751302209
1662751173000,278,1662751182061
1662751053000,243,1662751062031
1662750933000,269,1662750942176
1662750813000,278,1662750822264
1662750693000,252,1662750701994
1662750573000,287,1662750582001
1662750453000,259,1662750462003
1662750333000,257,1662750342022
1662750213000,273,1662750222361
1662750093000,250,1662750102054
1662749973000,252,1662749982135
1662749853000,275,1662749861927
1662749733000,263,1662749741885
1662749613000,243,1662749622270
1662749493000,261,1662749502004
1662749373000,302,1662749381993
1662749253000,288,1662749262144
1662749133000,276,1662749141998
1662749013000,260,1662749022637
1662748893000,297,1662748902080
1662748773000,265,1662748782075
1662748653000,276,1662748661995
1662748533000,287,1662748541850
1662748413000,263,1662748422259
1662748293000,252,1662748301853
1662748173000,256,1662748181870
1662748053000,285,1662748061916
1662747933000,266,1662747942026
1662747813000,267,1662747822548
1662747693000,241,1662747702055
1662747573000,272,1662747581887
1662747453000,277,1662747462018
1662747333000,242,1662747341968
1662747213000,266,1662747222448
1662747093000,268,1662747101891
1662746973000,255,1662746982009
1662746853000,279,1662746861876
1662746733000,308,1662746741930
1662746613000,253,1662746621815
1662746493000,307,1662746501865
1662746373000,259,1662746382064
1662746253000,285,1662746261966
1662746133000,271,1662746142124
1662746013000,270,1662746022090
1662745893000,261,1662745901884
1662745773000,261,1662745781841
1662745653000,281,1662745661957
